Cement_component_1,Blast Furnace Slag_component_2,Fly_Ash_component_3,Water_component_4,Superplasticizer_component_5,Coarse_Aggregate_component_6,Fine_Aggregate_component_7,Age_day,prediction
0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.99,45.88733333333334
0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.89,46.367666666666665
142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.27,52.861
142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05,52.861
132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.3,58.79333333333334
114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.03,59.14966666666666
95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.7,56.061666666666675
95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45,52.95533333333334
114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85,53.65866666666667
0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.29,41.64333333333334
132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07,58.294666666666664
132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02,52.18650000000001
47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01,52.13733333333333
190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.33,58.99866666666665
76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81,53.65866666666667
0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.91,45.37733333333334
209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36,58.143666666666675
38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14,52.37566666666667
95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56,56.43049999999999
0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62,38.137000000000015
47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84,52.13733333333333
209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24,52.47450000000001
209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06,27.026
209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.21,58.79333333333334
0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.52,39.859333333333346
0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3,39.859333333333346
95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15,52.861
38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.12,52.37566666666667
47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43,53.62383333333334
0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.6,42.78750000000001
76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26,56.22200000000001
114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.91,56.588333333333345
132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.72,58.79333333333334
0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13,38.137000000000015
190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69,56.588333333333345
237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41,55.309666666666665
237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.08,56.541
142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72,56.43049999999999
0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.23,43.86133333333334
237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25,55.309666666666665
38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46,56.34066666666667
47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.7,52.13733333333333
237.5,0.0,228.0,0.0,932.0,594.0,365.0,39.0,55.309666666666665
0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.1,39.859333333333346
47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54,55.152833333333334
47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08,52.380500000000005
0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05,27.690499999999997
95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.76,52.861
237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26,47.1675
95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82,51.605500000000006
142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.78,52.861
190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93,56.588333333333345
237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.12,55.66427777777778
76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19,58.70199999999999
209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59,37.681999999999995
132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.64,36.3655
0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.93,38.137000000000015
132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13,27.034499999999998
76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.95,56.22200000000001
142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.02,52.333000000000006
76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.38,56.22200000000001
114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.73,56.588333333333345
0.0,0.0,192.0,0.0,971.0,850.6,3.0,9.87,18.6455
190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.66,56.588333333333345
114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.7,56.588333333333345
38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.06,52.37566666666667
209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.7,58.79333333333334
142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.28,50.76
190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.86,51.45183333333334
0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.99,47.6245
189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.4,36.38583333333333
262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.8,52.206999999999994
106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4,28.8935
106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3,40.17533333333334
93.8,0.0,126.6,23.4,852.1,992.6,3.0,29.0,27.864000000000004
118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.8,50.964333333333336
